"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"05/11/2018","55","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","7","47","0","55","27"
"05/12/2018","50","PM2.5","Oakland West","06-001-0011","AQS","7","44","0","50","25"
"05/13/2018","48","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","6","41","0","48","10"
"05/14/2018","35","Ozone","Livermore","06-001-0007","AQS","7","35","0","27","23"
"05/15/2018","36","Ozone","Livermore","06-001-0007","AQS","6","36","0","25","24"
"05/16/2018","37","Ozone","Livermore","06-001-0007","AQS","6","37","0","24","25"
"05/17/2018","35","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","6","31","0","35","23"
"05/18/2018","37","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","5","30","0","37","18"
"05/19/2018","43","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","5","38","0","43","12"
"05/20/2018","47","PM2.5","Oakland West","06-001-0011","AQS","5","37","0","47","13"
"05/21/2018","54","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","7","33","1","54","25"
"05/22/2018","36","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","5","31","0","36","21"
"05/23/2018","33","Ozone","Livermore","06-001-0007","AQS","5","33",".","26","20"
"05/24/2018","31","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","6","31","0","31","24"
"05/25/2018","30","Ozone","Livermore","06-001-0007","AQS","5","30","0","25","24"
"05/26/2018","46","PM2.5","Oakland West","06-001-0011","AQS","6","32","0","46","16"
"05/27/2018","59","PM2.5","Oakland West","06-001-0011","AQS","6","38","0","59","18"
"05/28/2018","73","PM2.5","Oakland West","06-001-0011","AQS","6","43","0","73","18"
